iter	Passed	Remaining
0	134	133910
1	141	70409
2	145	48410
3	149	37331
4	156	31087
5	159	26503
6	163	23197
7	169	20991
8	171	18895
9	173	17222
10	176	15841
11	178	14694
12	182	13851
13	185	13087
14	188	12393
15	191	11748
16	195	11300
17	197	10750
18	198	10260
19	200	9816
20	201	9413
21	203	9050
22	205	8713
23	209	8532
24	211	8249
25	213	7984
26	214	7740
27	216	7510
28	217	7296
29	219	7096
30	223	6988
31	225	6824
32	227	6671
33	229	6523
34	231	6375
35	232	6237
36	234	6111
37	238	6050
38	241	5941
39	243	5834
40	245	5736
41	247	5634
42	248	5534
43	252	5477
44	253	5389
45	255	5301
46	257	5218
47	259	5140
48	261	5065
49	262	4993
50	266	4963
51	268	4895
52	270	4829
53	272	4767
54	273	4707
55	275	4647
56	277	4589
57	281	4574
58	283	4522
59	285	4471
60	287	4421
61	288	4371
62	290	4326
63	293	4286
64	296	4261
65	298	4223
66	300	4186
67	302	4147
68	304	4109
69	306	4072
70	311	4076
71	313	4044
72	315	4011
73	318	3980
74	320	3951
75	324	3942
76	327	3922
77	329	3900
78	332	3877
79	335	3856
80	340	3857
81	342	3832
82	343	3794
83	345	3766
84	347	3743
85	350	3720
86	354	3722
87	357	3700
88	359	3678
89	361	3657
90	364	3638
91	368	3635
92	370	3617
93	373	3598
94	375	3580
95	378	3561
96	380	3544
97	384	3534
98	386	3516
99	389	3502
100	391	3485
101	393	3467
102	398	3469
103	400	3452
104	403	3436
105	405	3419
106	407	3403
107	412	3411
108	415	3399
109	418	3387
110	422	3383
111	429	3401
112	432	3394
113	435	3384
114	438	3372
115	444	3385
116	446	3368
117	448	3355
118	452	3347
119	456	3348
120	459	3336
121	461	3320
122	464	3310
123	466	3298
124	471	3300
125	474	3290
126	477	3281
127	481	3281
128	492	3327
129	496	3321
130	502	3333
131	505	3325
132	509	3319
133	511	3308
134	518	3324
135	521	3314
136	524	3304
137	527	3292
138	532	3301
139	535	3290
140	538	3282
141	540	3267
142	543	3255
143	548	3259
144	550	3248
145	553	3236
146	555	3223
147	557	3210
148	563	3215
149	565	3204
150	567	3193
151	570	3182
152	572	3171
153	576	3169
154	579	3157
155	583	3159
156	586	3149
157	593	3165
158	598	3165
159	601	3160
160	606	3158
161	609	3151
162	611	3141
163	614	3131
164	616	3121
165	623	3132
166	626	3123
167	628	3113
168	631	3104
169	639	3121
170	641	3110
171	644	3102
172	646	3092
173	651	3094
174	655	3088
175	657	3080
176	660	3069
177	662	3060
178	666	3057
179	669	3048
180	671	3039
181	674	3030
182	680	3036
183	682	3026
184	684	3016
185	687	3007
186	689	2997
187	695	3003
188	697	2993
189	699	2983
190	701	2973
191	703	2962
192	710	2972
193	713	2964
194	715	2955
195	718	2946
196	720	2938
197	724	2935
198	726	2925
199	728	2915
200	730	2905
201	732	2894
202	735	2886
203	738	2881
204	740	2872
205	742	2862
206	744	2852
207	746	2843
208	748	2832
209	753	2833
210	755	2824
211	757	2815
212	759	2805
213	761	2796
214	763	2786
215	767	2784
216	769	2776
217	771	2766
218	773	2757
219	775	2748
220	777	2739
221	779	2732
222	782	2726
223	784	2718
224	786	2709
225	788	2701
226	790	2692
227	793	2685
228	797	2684
229	800	2678
230	802	2671
231	805	2665
232	807	2657
233	810	2654
234	813	2647
235	815	2639
236	817	2631
237	819	2624
238	821	2616
239	824	2612
240	827	2606
241	830	2600
242	832	2592
243	834	2584
244	836	2576
245	840	2575
246	842	2567
247	844	2559
248	846	2552
249	848	2544
250	850	2537
251	852	2529
252	855	2524
253	856	2516
254	859	2509
255	861	2504
256	864	2498
257	870	2502
258	872	2497
259	875	2491
260	878	2486
261	880	2481
262	885	2482
263	887	2475
264	889	2467
265	891	2460
266	893	2452
267	895	2445
268	899	2443
269	901	2438
270	904	2432
271	907	2427
272	908	2420
273	910	2412
274	913	2409
275	916	2403
276	918	2396
277	920	2389
278	922	2383
279	924	2376
280	928	2376
281	930	2370
282	932	2363
283	934	2356
284	936	2349
285	938	2342
286	942	2341
287	944	2335
288	946	2329
289	948	2323
290	950	2316
291	952	2310
292	954	2303
293	958	2302
294	960	2296
295	963	2291
296	966	2286
297	968	2281
298	972	2280
299	975	2275
300	978	2271
301	980	2266
302	983	2261
303	989	2264
304	991	2259
305	994	2254
306	997	2251
307	1002	2253
308	1004	2247
309	1006	2240
310	1008	2233
311	1010	2227
312	1012	2221
313	1014	2215
314	1018	2214
315	1020	2208
316	1022	2202
317	1023	2195
318	1025	2190
319	1028	2185
320	1033	2186
321	1035	2181
322	1038	2176
323	1041	2171
324	1049	2179
325	1052	2175
326	1056	2175
327	1061	2175
328	1064	2170
329	1067	2166
330	1073	2169
331	1077	2167
332	1087	2177
333	1090	2174
334	1092	2169
335	1095	2164
336	1098	2160
337	1103	2162
338	1106	2157
339	1108	2152
340	1111	2147
341	1113	2142
342	1116	2137
343	1118	2132
344	1121	2128
345	1125	2126
346	1131	2129
347	1133	2124
348	1136	2119
349	1138	2114
350	1146	2120
351	1149	2116
352	1152	2112
353	1159	2115
354	1162	2112
355	1165	2107
356	1167	2102
357	1172	2102
358	1176	2100
359	1180	2098
360	1188	2103
361	1191	2099
362	1193	2094
363	1196	2089
364	1198	2084
365	1202	2083
366	1204	2078
367	1206	2072
368	1208	2067
369	1210	2061
370	1212	2056
371	1217	2055
372	1219	2050
373	1221	2045
374	1224	2040
375	1226	2035
376	1228	2030
377	1231	2025
378	1233	2020
379	1235	2016
380	1238	2012
381	1241	2008
382	1244	2005
383	1247	2001
384	1250	1997
385	1252	1993
386	1258	1992
387	1261	1989
388	1265	1987
389	1268	1983
390	1272	1981
391	1274	1976
392	1276	1971
393	1278	1966
394	1280	1961
395	1283	1957
396	1286	1953
397	1289	1949
398	1291	1945
399	1294	1941
400	1299	1940
401	1301	1936
402	1303	1931
403	1305	1925
404	1307	1920
405	1308	1914
406	1310	1909
407	1314	1907
408	1316	1902
409	1318	1896
410	1319	1891
411	1321	1886
412	1323	1880
413	1324	1875
414	1326	1869
415	1329	1866
416	1331	1861
417	1333	1856
418	1335	1851
419	1338	1848
420	1340	1843
421	1343	1839
422	1344	1834
423	1346	1829
424	1348	1824
425	1350	1819
426	1352	1815
427	1356	1812
428	1359	1808
429	1362	1805
430	1365	1803
431	1368	1799
432	1371	1795
433	1373	1791
434	1375	1786
435	1378	1782
436	1380	1778
437	1385	1777
438	1387	1773
439	1389	1768
440	1391	1764
441	1394	1760
442	1397	1756
443	1400	1753
444	1402	1749
445	1404	1744
446	1407	1740
447	1409	1736
448	1410	1731
449	1415	1729
450	1417	1725
451	1419	1720
452	1422	1717
453	1424	1713
454	1429	1711
455	1431	1707
456	1432	1702
457	1434	1697
458	1436	1692
459	1437	1687
460	1439	1682
461	1441	1678
462	1444	1675
463	1446	1670
464	1448	1666
465	1450	1662
466	1452	1657
467	1453	1652
468	1457	1650
469	1459	1645
470	1460	1640
471	1462	1636
472	1466	1633
473	1467	1628
